cpu,memory,memory_swap_in,memory_swap_out,disk_request_read,disk_request_write,interface_bytes_in,interface_bytes_out,interface_packets_in,interface_packets_out,label,label2
26.49,211.5,0.0,0.0,0.0,0.4,124446.07,954963.4,1269.09,1228.7,0,0
28.32,211.0,0.0,0.0,0.0,6.1,117460.69,917683.47,1222.12,1234.63,0,0
29.99,216.0,0.0,0.0,0.0,7.04,128744.82,1005622.51,1300.77,1308.93,0,0
29.98,216.0,0.0,0.0,0.0,0.41,127242.93,938343.66,1314.09,1249.96,0,0
25.26,220.0,0.0,0.0,0.0,0.39,121220.09,935049.26,1249.84,1269.05,0,0
24.21,220.0,0.0,0.0,0.0,0.4,132667.69,979197.03,1300.9,1369.96,0,0
29.15,211.0,0.0,0.0,0.0,0.64,120885.77,953774.43,1283.15,1257.45,0,0
25.03,211.0,0.0,0.0,0.0,8.14,132736.37,933883.93,1294.59,1266.27,0,0
26.2,211.0,0.0,0.0,0.0,7.89,128840.08,957233.02,1282.55,1175.17,1,1,1
35.24,214.5,0.0,0.0,0.0,0.39,182429.16,570966.57,2802.29,1746.91,1,1
55.01,218.0,0.0,0.0,0.0,0.39,301617.46,185842.41,5862.83,2851.64,1,1
53.19,215.0,0.0,0.0,0.0,0.4,309750.16,162770.6,5938.27,2952.88,1,1
54.58,215.0,0.0,0.0,0.0,0.59,288553.84,168991.98,5444.62,2719.59,1,1
50.64,215.0,0.0,0.0,0.11,3.98,294083.73,161006.85,5946.79,3035.77,1,1
41.49,215.0,0.0,0.0,0.0,0.87,298110.37,152829.71,5361.64,2575.82,1,1
43.39,215.0,0.0,0.0,0.0,0.87,311664.83,159386.5,5812.55,2858.03,1,1
43.85,214.5,0.0,0.0,0.0,0.4,298964.5,169708.4,5753.03,2915.1,1,1
47.24,214.0,0.0,0.0,0.0,0.42,308413.63,160962.28,5485.02,2886.7,1,1
50.86,214.0,0.0,0.0,0.0,0.39,289015.97,168593.03,5189.98,2548.59,1,1
52.29,214.0,0.0,0.0,0.0,0.39,308004.15,162466.3,5806.01,3080.9,1,1
52.6,214.0,0.0,0.0,0.0,2.68,303249.87,163286.54,5610.87,2766.4,1,1
48.9,214.0,0.0,0.0,0.0,0.4,308304.98,159752.28,5523.51,2822.45,1,1
54.09,214.0,0.0,0.0,0.0,0.4,298498.54,163709.81,5757.16,2851.36,1,1
59.23,214.0,0.0,0.0,0.0,0.4,325096.85,168521.36,5650.71,2860.97,1,1
46.59,214.0,0.0,0.0,0.0,0.4,296476.01,167173.24,5230.66,2638.5,1,1
47.49,214.0,0.0,0.0,0.0,8.68,302160.84,163911.31,5850.12,2986.37,1,1
48.26,214.0,0.0,0.0,0.0,0.66,315082.05,162917.85,5827.51,2892.53,1,1
48.04,214.0,0.0,0.0,0.0,0.4,322144.59,163772.59,5926.72,2813.64,1,1
54.14,214.0,0.0,0.0,0.0,0.4,311128.66,168406.15,5726.78,2843.88,1,1
52.93,214.0,0.0,0.0,0.0,0.4,301926.71,168532.83,5651.38,2816.54,1,1
54.66,214.0,0.0,0.0,0.0,7.2,320461.68,166816.17,5840.78,2971.05,1,1
56.07,214.0,0.0,0.0,0.0,0.43,307931.79,164202.86,5707.1,2866.64,1,1
47.44,214.0,0.0,0.0,0.0,0.38,306038.62,164468.91,5678.2,2793.46,1,1
52.37,214.0,0.0,0.0,0.0,0.4,304916.14,162565.23,5642.61,2864.45,1,1
52.96,214.0,0.0,0.0,0.0,0.4,296145.12,158998.01,5716.27,2714.73,1,1
50.09,214.0,0.0,0.0,0.0,4.2,294390.82,157936.85,5717.65,2732.03,1,1
45.96,214.0,0.0,0.0,0.0,4.44,315838.86,167968.03,5594.71,2891.27,1,1
47.21,214.0,0.0,0.0,0.0,0.19,291336.0,158949.57,5868.2,2754.96,1,1
48.65,214.0,0.0,0.0,0.0,0.41,294023.37,176852.24,5471.43,2909.25,1,1
47.53,214.0,0.0,0.0,0.0,0.37,322979.94,159593.69,5609.22,2898.87,1,1
57.51,214.0,0.0,0.0,0.0,4.55,312631.02,158900.0,5782.39,2734.17,1,1
55.11,214.0,0.0,0.0,0.0,4.54,296154.9,163890.08,5676.25,2995.9,1,1
54.25,214.0,0.0,0.0,0.0,0.39,312839.9,166061.81,5431.73,2901.31,1,1
52.13,214.0,0.0,0.0,0.0,0.4,325418.32,172895.64,5937.78,2858.49,1,1
54.99,214.0,0.0,0.0,0.0,0.39,310164.06,168597.66,5966.08,2753.26,1,1
56.09,214.0,0.0,0.0,0.0,0.45,311911.59,165576.08,5611.72,2955.58,1,1
48.97,214.0,0.0,0.0,2.27,7.29,311056.58,152827.07,5263.27,2895.21,1,1
48.73,214.0,0.0,0.0,0.0,0.39,309665.27,176027.31,6043.14,2825.33,1,1
50.25,214.0,0.0,0.0,0.0,0.4,301378.76,167710.83,5815.88,2797.63,1,1
52.08,214.0,0.0,0.0,0.0,0.4,314926.91,166158.08,5504.58,2950.87,1,1
49.38,214.0,0.0,0.0,0.0,0.4,294820.5,159833.43,6365.18,2729.7,1,1
57.62,214.0,0.0,0.0,0.21,7.67,322089.47,171503.64,5272.43,2749.21,1,1
53.0,214.0,0.0,0.0,0.0,0.44,301898.47,156772.5,5736.0,2993.24,1,1
57.21,214.0,0.0,0.0,0.0,1.11,306991.47,157851.39,5512.35,2855.94,1,1
49.77,214.0,0.0,0.0,0.0,0.42,306177.75,171347.75,5909.05,2763.73,1,1
56.21,214.0,0.0,0.0,0.0,0.4,303398.89,164022.92,5612.0,2807.2,1,1
51.74,214.0,0.0,0.0,0.0,4.26,298435.2,159242.76,5733.81,2923.69,1,1
52.78,214.0,0.0,0.0,0.0,0.39,328489.4,170326.94,5284.6,2876.08,1,1
48.49,214.0,0.0,0.0,0.0,0.4,311513.19,164480.53,6386.34,2625.32,1,1
51.92,214.0,0.0,0.0,0.0,0.41,323927.62,171405.55,5277.97,2921.32,1,1
54.78,214.0,0.0,0.0,0.0,0.41,304720.42,162676.85,5681.2,3045.55,1,1
49.28,214.0,0.0,0.0,0.0,3.12,301083.01,159419.31,5552.23,2817.74,1,1
54.23,214.0,0.0,0.0,0.0,3.44,306413.07,171395.83,5916.27,2930.2,1,1
56.65,214.0,0.0,0.0,0.0,0.71,303179.28,163480.77,5911.36,2732.48,1,1
